,pred,std,lat,lon
216,0.762802,0.5449375,33.75,77.5
217,0.52856666,0.5580106,34.0,77.5
218,0.6193228,0.5537817,34.25,77.5
219,0.8162117,0.55291057,34.5,77.5
220,0.77651554,0.56365323,34.75,77.5
221,0.8075696,0.55785453,35.0,77.5
222,0.5400394,0.5636702,35.25,77.5
223,0.4718237,0.57558215,35.5,77.5
224,0.5147799,0.5674589,32.5,77.75
225,0.590403,0.55876034,32.75,77.75
226,0.57984066,0.5565782,33.0,77.75
227,0.53377306,0.5599655,33.25,77.75
228,0.6935917,0.5548147,33.5,77.75
229,0.6039743,0.5516815,33.75,77.75
230,0.531891,0.5639826,34.0,77.75
231,0.712083,0.57933074,34.25,77.75
232,0.58247924,0.5577329,34.5,77.75
233,0.5665331,0.56415945,34.75,77.75
234,0.49806318,0.57805926,35.0,77.75
235,0.37757143,0.575371,35.25,77.75
236,0.33515626,0.59462327,35.5,77.75
237,0.3851562,0.55771023,32.5,78.0
238,0.3429225,0.5620685,32.75,78.0
239,0.5888165,0.5540918,33.0,78.0
240,0.4224333,0.55329794,33.25,78.0
241,0.68931663,0.56372875,33.5,78.0
242,0.53057426,0.5660003,33.75,78.0
243,0.7067022,0.55598944,34.0,78.0
244,0.75111276,0.5641616,34.25,78.0
245,0.53442204,0.56367916,34.5,78.0
246,0.5099939,0.5560373,34.75,78.0
247,0.5081426,0.5699225,35.0,78.0
248,0.41711625,0.58306533,35.25,78.0
249,0.28965384,0.58707577,35.5,78.0
250,0.67775446,0.5551318,33.0,78.25
251,0.4788936,0.59124476,33.25,78.25
252,0.5163962,0.5540952,33.5,78.25
253,0.78998685,0.55560815,33.75,78.25
254,0.46670422,0.573448,34.0,78.25
255,0.44915113,0.5657929,34.25,78.25
256,0.5899011,0.5786384,34.5,78.25
257,0.46610785,0.5979142,34.75,78.25
258,0.35405797,0.5670837,35.0,78.25
259,0.32283622,0.5725331,35.25,78.25
260,0.30846772,0.5876356,35.5,78.25
261,0.4226206,0.54880756,32.75,78.5
262,0.4795459,0.55945086,33.0,78.5
263,0.41920272,0.55884624,33.25,78.5
264,0.46633083,0.5668191,33.5,78.5
265,0.46620893,0.58122754,33.75,78.5
266,0.5599714,0.5559121,34.0,78.5
267,0.45773306,0.5753111,34.25,78.5
268,0.39959067,0.5815735,34.5,78.5
269,0.30183196,0.58857876,34.75,78.5
270,0.39085895,0.56564367,35.0,78.5
271,0.3526283,0.59199834,35.25,78.5
272,0.2439458,0.6146039,35.5,78.5
273,0.5493891,0.5545638,32.5,78.75
274,0.34006983,0.5679196,32.75,78.75
275,0.494191,0.5594745,33.0,78.75
276,0.41230932,0.57495254,33.25,78.75
277,0.42881837,0.58178574,33.5,78.75
278,0.39101076,0.56278247,33.75,78.75
279,0.36564416,0.58291996,34.0,78.75
280,0.48761636,0.5712947,34.25,78.75
281,0.44132012,0.5679861,34.5,78.75
282,0.35739934,0.57678044,34.75,78.75
283,0.3501386,0.56376696,32.25,79.0
284,0.42718554,0.5657161,32.5,79.0
285,0.35008508,0.5615461,32.75,79.0
286,0.4665845,0.5579305,33.0,79.0
287,0.41581964,0.5598997,33.25,79.0
288,0.5365428,0.57679474,33.5,79.0
289,0.46190804,0.5631187,33.75,79.0
290,0.46827802,0.57707113,34.0,79.0
291,0.5862996,0.5732135,34.25,79.0
292,0.37568063,0.5939425,34.5,79.0
293,0.38366443,0.5909262,34.75,79.0
294,0.53018254,0.5812213,32.5,79.25
295,0.47852474,0.5581373,32.75,79.25
296,0.35313615,0.57250947,33.0,79.25
297,0.49579626,0.5586153,33.25,79.25
298,0.3789249,0.57497495,33.5,79.25
299,0.34292835,0.56119,33.75,79.25
300,0.36257485,0.58466506,34.0,79.25
301,0.31680647,0.5722983,34.25,79.25
302,0.26026306,0.594367,34.5,79.25
303,0.36804324,0.5763635,32.25,79.5
304,0.40061584,0.5888733,32.5,79.5
305,0.35309356,0.5756755,32.75,79.5
306,0.5454513,0.5744422,33.0,79.5
307,0.38129312,0.57929975,33.25,79.5
308,0.3324353,0.58059406,33.5,79.5
309,0.42904505,0.57794523,33.75,79.5
310,0.4048532,0.5762126,34.0,79.5
311,0.34471422,0.57089883,34.25,79.5
312,0.21673433,0.5919164,34.5,79.5
313,0.4335805,0.5677396,32.0,79.75
314,0.4080406,0.5826,32.25,79.75
315,0.27826092,0.57073903,32.5,79.75
316,0.30195913,0.56946754,32.75,79.75
317,0.3779493,0.5777432,33.25,79.75
318,0.35957432,0.58443904,33.5,79.75
319,0.2587543,0.59053254,33.75,79.75
320,0.3254533,0.58108795,34.0,79.75
321,0.28503147,0.5969412,34.25,79.75
322,0.16971686,0.6002215,34.5,79.75
323,0.4568897,0.58244675,31.5,80.0
324,0.30877924,0.58068395,31.75,80.0
325,0.27212542,0.56699103,32.0,80.0
326,0.34398875,0.5605663,32.25,80.0
327,0.43218803,0.57699686,32.5,80.0
328,0.32345444,0.5914477,32.75,80.0
329,0.3627802,0.5840352,33.5,80.0
330,0.2873713,0.58751935,33.75,80.0
331,0.33585292,0.6238165,34.0,80.0
332,0.24131088,0.6087658,34.25,80.0
333,0.39591807,0.5658582,31.25,80.25
334,0.5089515,0.55028933,31.5,80.25
335,0.48195896,0.5642481,31.75,80.25
336,0.2919777,0.5850527,32.0,80.25
337,0.5027767,0.56250703,32.25,80.25
338,0.26769304,0.58793265,32.5,80.25
339,0.39627248,0.56592077,32.75,80.25
340,0.19496495,0.5925412,33.5,80.25
341,0.26287442,0.58995,33.75,80.25
342,0.25030452,0.5969689,34.0,80.25
343,0.23847601,0.6042372,34.25,80.25
344,0.17985919,0.6228612,34.5,80.25
345,0.57995224,0.57392156,31.25,80.5
346,0.4268423,0.56667995,31.5,80.5
347,0.38941565,0.57515997,31.75,80.5
348,0.30696422,0.57305,32.0,80.5
349,0.3130682,0.56677103,32.25,80.5
350,0.29168805,0.588477,32.5,80.5
351,0.2800601,0.5871797,32.75,80.5
352,0.26259917,0.5877491,33.5,80.5
353,0.27671093,0.61625034,33.75,80.5
354,0.17155997,0.6039018,34.0,80.5
355,0.19974378,0.6215757,34.25,80.5
356,0.67015415,0.5762898,31.25,80.75
357,0.32959813,0.56759495,31.5,80.75
358,0.3139326,0.5789577,31.75,80.75
359,0.24070053,0.5691561,32.0,80.75
360,0.31855434,0.5736091,32.25,80.75
361,0.31583518,0.58648276,32.5,80.75
362,0.20686665,0.5959903,32.75,80.75
363,0.31287494,0.61165035,33.0,80.75
364,0.21602973,0.5998172,33.5,80.75
365,0.20434034,0.6113993,33.75,80.75
366,0.1710351,0.60988075,34.0,80.75
367,0.47590542,0.5721598,31.25,81.0
368,0.37227648,0.5709727,31.5,81.0
369,0.500385,0.5726122,31.75,81.0
370,0.2647617,0.5917736,32.0,81.0
371,0.28070647,0.58704156,32.25,81.0
372,0.21989644,0.6015012,32.5,81.0
373,0.21804936,0.5912016,32.75,81.0
374,0.20406564,0.6011644,33.0,81.0
375,0.206844,0.6001061,33.5,81.0
376,0.12610646,0.6068592,33.75,81.0
377,0.33950418,0.5795085,31.25,81.25
378,0.2819285,0.5866185,31.5,81.25
379,0.3430408,0.58814764,31.75,81.25
380,0.2296236,0.5944805,32.0,81.25
381,0.23529729,0.5911061,32.25,81.25
382,0.2326343,0.5861372,32.5,81.25
383,0.18498932,0.62378216,33.75,81.25
384,0.40198612,0.568982,31.0,81.5
385,0.31900847,0.5730878,31.25,81.5
386,0.28284138,0.57702464,31.5,81.5
387,0.31583804,0.5797896,31.75,81.5
388,0.19855812,0.5893014,32.0,81.5
389,0.2679258,0.59067035,32.25,81.5
390,0.31833825,0.5818219,31.25,81.75
391,0.28223264,0.57328326,31.5,81.75
392,0.2760466,0.5883575,31.75,81.75
393,0.25596833,0.61411065,32.0,81.75
